source_id,candidate_id,formula,surface,facet,reaction,adsorbate,site,reaction_energy,source,fallback_used
UmVhY3Rpb246MjUxMTc=,Au16|Au|111,Au16,Au,111,2.0H2O(g) - -0.0H2(g) + 0.5N2(g) + * -> H2N* + 2.0HO*,OH,ontop,3.74923973344,Catalysis-Hub,False
UmVhY3Rpb246MzQ2MTQ=,MoW15O48|MoW15O48|1,MoW15O48,MoW15O48,1,H2O(g) - H2(g) + * -> O*,O,B,4.6314826,Catalysis-Hub,False
UmVhY3Rpb246MjUxMTg=,Au16|Au|111,Au16,Au,111,H2O(g) + 1.5H2(g) + N2(g) + * -> 2.0H2N* + HO*,OH,ontop,3.4799201424,Catalysis-Hub,False
UmVhY3Rpb246Mjk2MjI=,Ag16|Ag|111,Ag16,Ag,111,2.0CH4(g) + 2.0H2O(g) - 4.0H2(g) + * -> 2.0CH* + 2.0HO*,OH,fcc,12.4552437072,Catalysis-Hub,False
UmVhY3Rpb246MzIzMDQ=,Pt16|Pt|111,Pt16,Pt,111,3.0CH4(g) + H2O(g) - 7.0H2(g) + * -> 3.0C* + O*,O,bridge,13.4596282785,Catalysis-Hub,False
UmVhY3Rpb246MjUxMTk=,Au16|Au|111,Au16,Au,111,H2O(g) + 0.5H2(g) + 0.5N2(g) + * -> H2N* + HO*,OH,ontop,2.05610756638,Catalysis-Hub,False
UmVhY3Rpb246MzQ5Mw==,AuPd3|AuPd3|211,AuPd3,AuPd3,211,hfO2(g) + * -> O*,O,,-0.99312,Catalysis-Hub,False
UmVhY3Rpb246MzUxMA==,ZnPd3|ZnPd3|211,ZnPd3,ZnPd3,211,hfO2(g) + * -> O*,O,,-1.1306,Catalysis-Hub,False
UmVhY3Rpb246Mjk2MjM=,Ag16|Ag|111,Ag16,Ag,111,3.0CH4(g) + H2O(g) - 5.0H2(g) + * -> 3.0CH* + HO*,OH,fcc,15.6805286789,Catalysis-Hub,False
UmVhY3Rpb246MzIzMTU=,Pt16|Pt|111,Pt16,Pt,111,3.0H2O(g) - 3.0H2(g) + * -> 3.0O*,O,ontop,8.68197734032,Catalysis-Hub,False
UmVhY3Rpb246MjYzNTE=,Rh16|Rh|111,Rh16,Rh,111,2.0H2O(g) + H2S(g) - 2.5H2(g) + * -> HS* + 2.0O*,O,bridge,3.26462773788,Catalysis-Hub,False
UmVhY3Rpb246MjUxMjA=,Au16|Au|111,Au16,Au,111,3.0H2O(g) - 0.5H2(g) + 0.5N2(g) + * -> H2N* + 3.0HO*,OH,fcc,6.61546992236,Catalysis-Hub,False
UmVhY3Rpb246MzQ2MTY=,MoW15O47|MoW15O47|1,MoW15O47,MoW15O47,1,2.0H2O(g) - 1.5H2(g) + * -> OOH*,OOH,B,3.9075979,Catalysis-Hub,False
UmVhY3Rpb246MjU0MTM=,Pt16|Pt|111,Pt16,Pt,111,2.0H2O(g) - 0.5H2(g) + 0.5N2(g) + * -> HN* + 2.0HO*,OH,ontop,4.63590682838,Catalysis-Hub,False
UmVhY3Rpb246MjY5MjA=,Ir16|Ir|111,Ir16,Ir,111,H2O(g) + H2S(g) - 1.5H2(g) + * -> HO* + S*,OH,ontop,1.01247138707,Catalysis-Hub,False
UmVhY3Rpb246Mjk2MjQ=,Ag16|Ag|111,Ag16,Ag,111,CH4(g) + 2.0H2O(g) - 2.5H2(g) + * -> CH* + 2.0HO*,OH,fcc,7.4947938207,Catalysis-Hub,False
UmVhY3Rpb246MjUxMjE=,Au16|Au|111,Au16,Au,111,2.0H2O(g) + H2(g) + N2(g) + * -> 2.0H2N* + 2.0HO*,OH,fcc,5.59042510621,Catalysis-Hub,False
UmVhY3Rpb246Mjk2MjU=,Ag16|Ag|111,Ag16,Ag,111,2.0CH4(g) + H2O(g) - 3.5H2(g) + * -> 2.0CH* + HO*,OH,fcc,10.4185096953,Catalysis-Hub,False
UmVhY3Rpb246MzA4MzQ=,Pd16|Pd|111,Pd16,Pd,111,H2O(g) - 0.5H2(g) + * -> H* + O*,O,ontop,3.08402570081,Catalysis-Hub,False
UmVhY3Rpb246MjUxMjI=,Au16|Au|111,Au16,Au,111,H2O(g) + 2.5H2(g) + 1.5N2(g) + * -> 3.0H2N* + HO*,OH,fcc,4.84677173631,Catalysis-Hub,False
UmVhY3Rpb246Mjk2MjY=,Ag16|Ag|111,Ag16,Ag,111,CH4(g) + H2O(g) - 2.0H2(g) + * -> CH* + HO*,OH,fcc,5.65696674113,Catalysis-Hub,False
UmVhY3Rpb246MzQ2MTg=,MoW15HO48|MoW15HO48|1,MoW15HO48,MoW15HO48,1,2.0H2O(g) - 1.5H2(g) + * -> OOH*,OOH,B,3.95537482,Catalysis-Hub,False
UmVhY3Rpb246MjU0MTQ=,Pt16|Pt|111,Pt16,Pt,111,H2O(g) + 0.5H2(g) + N2(g) + * -> 2.0HN* + HO*,OH,ontop,4.61977374183,Catalysis-Hub,False
UmVhY3Rpb246MzIwMDQ=,Pd16|Pd|111,Pd16,Pd,111,3.0H2O(g) - 1.5H2(g) + * -> 3.0HO*,OH,bridge,3.40884107688,Catalysis-Hub,False
