source_id,candidate_id,formula,surface,facet,reaction,adsorbate,site,reaction_energy,source,fallback_used,dG_H
UmVhY3Rpb246MzY5ODMw,La6Zr6|LaZr|101,La6Zr6,LaZr,101,CH3CH2OH(g) + 9* -> 2C* + 6H* + O*,H,hollow,-7.946443693907327,Catalysis-Hub,False,-7.946443693907327
UmVhY3Rpb246MzcxNjI0,Ir6Ni6|IrNi|101,Ir6Ni6,IrNi,101,H2(g) + 2* -> 2H*,H,hollow,-0.5938043697223634,Catalysis-Hub,False,-0.5938043697223634
UmVhY3Rpb246MzYxMjIx,Bi6Hf6|BiHf|101,Bi6Hf6,BiHf,101,H2S(g) + 3* -> 2H* + S*,H,bridge,-2.564109925709886,Catalysis-Hub,False,-2.564109925709886
UmVhY3Rpb246MzcwNzI2,Al6Re6|AlRe|101,Al6Re6,AlRe,101,CH3CH3(g) + 8* -> 2C* + 6H*,H,bridge,1.7381479609933876,Catalysis-Hub,False,1.7381479609933876
UmVhY3Rpb246MzcwNzg0,Ga6W6|GaW|101,Ga6W6,GaW,101,CH3CH3(g) + 8* -> 2C* + 6H*,H,bridge,2.583985801385438,Catalysis-Hub,False,2.583985801385438
UmVhY3Rpb246MzcwOTAw,Ir6Y6|IrY|101,Ir6Y6,IrY,101,CH3CH3(g) + 8* -> 2C* + 6H*,H,hollow-tilt,-2.7047972704027643,Catalysis-Hub,False,-2.7047972704027643
UmVhY3Rpb246MzcwOTg3,Sc6Ta6|ScTa|101,Sc6Ta6,ScTa,101,CH3CH3(g) + 8* -> 2C* + 6H*,H,hollow,-5.054173458229911,Catalysis-Hub,False,-5.054173458229911
UmVhY3Rpb246MzcxMDQ1,Al6Zr6|AlZr|101,Al6Zr6,AlZr,101,CH3CH3(g) + 8* -> 2C* + 6H*,H,hollow,-1.4684338943740158,Catalysis-Hub,False,-1.4684338943740158
UmVhY3Rpb246MzcxMjAz,Rh6Zr6|RhZr|101,Rh6Zr6,RhZr,101,CH3CH3(g) + 8* -> 2C* + 6H*,H,hollow,0.08379596039537773,Catalysis-Hub,False,0.08379596039537773
UmVhY3Rpb246MzcxMjkw,Cr6Zr6|CrZr|101,Cr6Zr6,CrZr,101,CH2CH2(g) + 6* -> 2C* + 4H*,H,hollow,-6.019401108699071,Catalysis-Hub,False,-6.019401108699071
UmVhY3Rpb246MzcxNjI1,Ir6Ni6|IrNi|101,Ir6Ni6,IrNi,101,NH3(g) + 4* -> 3H* + N*,H,hollow,-0.33755721692904217,Catalysis-Hub,False,-0.33755721692904217
UmVhY3Rpb246MzYxMjIy,Bi6Hf6|BiHf|101,Bi6Hf6,BiHf,101,H2SO3(g) + 6* -> 2H* + 3O* + S*,H,bridge,-12.04677977866777,Catalysis-Hub,False,-12.04677977866777
UmVhY3Rpb246MzY5NTA0,Ga6In6|GaIn|101,Ga6In6,GaIn,101,NCH(g) + 3* -> C* + H* + N*,H,bridge-tilt,3.28622590260386,Catalysis-Hub,False,3.28622590260386
UmVhY3Rpb246MzY5ODMy,La6Zr6|LaZr|101,La6Zr6,LaZr,101,CH4(g) + 5* -> C* + 4H*,H,hollow,-2.359569300452563,Catalysis-Hub,False,-2.359569300452563
