kind,candidate_id,formula,surface,site,PC1,PC2,dG_H,pred_dG_H,pred_sigma,near_zero_rank,priority_rank,dft_converged
train,Ag6Tc6|AgTc|101,Ag6Tc6,AgTc,hollow|A_A_B|FCC,-6.303496890230085,-2.4041615487948733,0.1039500714405505,,,,,False
train,Ag6Ti6|AgTi|101,Ag6Ti6,AgTi,bridge|B_B|A,-1.928980581378765,-3.263202485242391,-0.6904830151533758,,,,,False
train,Ag6Ti6|AgTi|101,Ag6Ti6,AgTi,hollow|A_A_B|HCP,-2.2239584817584386,-3.3846076119952477,0.0214308695440479,,,,,False
train,Ag6Tl6|AgTl|101,Ag6Tl6,AgTl,bridge,-7.62103111888064,-3.024668090265956,0.5993133143429361,,,,,False
train,Ag6Tl6|AgTl|101,Ag6Tl6,AgTl,bridge|A_A|B,-8.139308751953736,-3.5074425406268395,0.5993133143429361,,,,,False
train,Ag6Tl6|AgTl|101,Ag6Tl6,AgTl,hollow-tilt|A_B_B|FCC,-8.47381367794451,-3.6597204108129113,0.724630172641838,,,,,False
train,Ag6V6|AgV|101,Ag6V6,AgV,hollow,-2.2767528379061575,-2.428306005765379,-0.6319577231542725,,,,,False
train,Ag6V6|AgV|101,Ag6V6,AgV,hollow|A_A_B|FCC,-2.9054822021591677,-2.9386714821245272,-0.07782102035614,,,,,False
train,Ag6V6|AgV|101,Ag6V6,AgV,hollow|A_B_B|FCC,-2.910402619590902,-2.9249132981740353,-0.6302911619559097,,,,,False
train,Ag6W6|AgW|101,Ag6W6,AgW,bridge,-3.9631936245777717,-4.584500286840029,-0.7226739462630292,,,,,False
train,Ag6Y6|AgY|101,Ag6Y6,AgY,4fold|A_A_B_B,-2.6877726287798485,-3.5824387831596054,0.0901476412409749,,,,,False
train,Ag6Y6|AgY|101,Ag6Y6,AgY,bridge|B_B|A,-2.912703932964517,-3.8469809514139843,-0.8020107766596709,,,,,False
train,Ag6Y6|AgY|101,Ag6Y6,AgY,top|A,-2.4617240211442315,-3.4477544754518648,0.4457813803428792,,,,,False
train,Ag6Zn6|AgZn|101,Ag6Zn6,AgZn,hollow|A_B_B|HCP,-6.7323131349656355,-3.5491082568626284,0.5101591607390503,,,,,False
train,Ag6Zr6|AgZr|101,Ag6Zr6,AgZr,bridge|A_A|B,-3.757544492024521,-3.4472285487252217,-0.7233071551590626,,,,,False
train,Ag6Zr6|AgZr|101,Ag6Zr6,AgZr,hollow|A_A_B|FCC,-4.0132201881393685,-3.5130061466374394,-0.0992015489564153,,,,,False
train,Ag6Zr6|AgZr|101,Ag6Zr6,AgZr,hollow|A_B_B|HCP,-4.012647951821424,-3.4934100247438935,-0.6989389527579704,,,,,False
train,Ag9Al3|Ag3Al|111,Ag9Al3,Ag3Al,bridge|A_A|A,-1.6518341440113293,-5.5001737858102855,0.5971626626424325,,,,,False
train,Ag9Al3|Ag3Al|111,Ag9Al3,Ag3Al,hollow,-1.2672247213424919,-5.045067609883059,0.247755024146528,,,,,False
